text,label
"@AmericanAir offered me a cot to sleep on?After they Cancelled Flightled my flight. A fucking cot. What about a hotel, like you're supposed to provide",-1
@united Hate when I get bumped out of the seat I've selected (&amp; empty row) and moved to another seat (non-empty). #1K #flt803 #nonupgrade!,-1
@USAirways can you please post wait time-have been on hold for two hours,-1
@AmericanAir Can I use an SWU on an Finnair codeshare of an American operated flight (JFK-MAN)?  Thanks in advance for the help!,0
@AmericanAir thank you,0
@united education of that staff is needed - he also turned away other first class cabin passengers with mileage plus.,-1
@SouthwestAir nice work on the update!,1
@AmericanAir yes called your UK number on skype…well worth the $.50.  i recommend others do the same.,1
"@AmericanAir I've been trying to call to cxl a reservation for tomorrow, due to needing surgery this week - cannot get through?",-1
"@JetBlue I fly w/u as much as I can, however your kiosks were broken in SYR and there was 1 woman working the ticket counter.. She had a",-1
@USAirways just lost a faithful customer.,-1
@united so if I'm flying 1st class just one leg to Chicago but not on my long flight to China am I still able to use the lounge in Chicago,0
@USAirways can you help chairman? I am on flight 686 PHX connect 599 SJC will miss connection can you reroute please.,0
@USAirways let's say it's directly correLate Flightd to the chance of a replacement case. I know which would cost the airline less!,-1
@USAirways with such disrespect I cannot even begin to explain. He has an issue with women and he literally yelled at me and pulled me off,-1
@USAirways Still on hold. 1 hour and 45 minutes and counting. Platinum? Who cares? Problems checking in? Who cares?,-1
@AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr,0
"@united Hey, thanks again for helping me miss my buddies 30th bday, you guys are really a trashy company #shouldhaveflowndelta #unitedsucks",-1
@JetBlue thanks. Line moved quick. Already done.,1
@SouthwestAir didn't realize no clothes until at hotel - suggestions?,0
@SouthwestAir please start flying to Huntsville so I never have to fly American Airlines again,-1
"@united ,now you have Cancelled Flightled my wife and daughter's flt?? What's going on? Follow me so I can dm details.",-1
@JetBlue ...really?,0
"@JetBlue Seriously, what is your solution? Who exactly will help my 5 year old if there's a problem with the plane? http://t.co/vPDRPLXj5a",-1
"@USAirways - what a disaster! Flight 3739, missed passenger count by 5 since it was done manually!!  Really???",-1
"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !",-1
@USAirways Almost home ...East Coast Freeze headed to PHL connect AVP TGIF http://t.co/WXowZhpgfL,0
LMAO “@JetBlue: Our fleet's on fleek. http://t.co/aIyC9WV5oq”,1
@United how is it that I book a flight with a reserved seat and then go to check in and find out I have no seat?  WTF.,-1
"@SouthwestAir can you follow me? Flight Cancelled Flightled, can't rebook online, been on hold for 2 hours.  Would love to DM flight info. Thank you.",-1
“@JetBlue: Our fleet's on fleek. http://t.co/uKM4e99Dz0” lmaoooo 😂😂😂😂,0
"@united ... frozen lines on flight, not continuing due to 'passenger comfort'? Not ok, sat on the plane as long as a flight to Vegas would !",-1
@JetBlue you really should be more proactive with passengers when you know the entertainment system isn't working. At least let me get a mag,-1
@USAirways has the worst customer service line.  I've called them 8 times today and not once was I able to talk to a real human being.,-1
"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat",1
"@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1",1
"@AmericanAir your gate agents at DFW gate B16 are pathetic tonight.  Terrible communication, stories changing and apathetic",-1
@united and now your rep just hung up on me after over 35 mins on hold because I asked for a supervisor. I'm furious right now.,-1
"@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail",-1
"@united Marcus helped me - good agent, couldn't fix it. Flight was listed on website, but ""unavailable""to book. False advertising much?",-1
@USAirways been on hold for 39 minutes and counting for a month old change fee refund request for a funeral.  This is pathetic.,-1
@united &lt;&lt;&lt;&lt;&lt;&lt;-------- do not reply to emails?,-1
"See you in ATL! “@SouthwestAir: Congrats to our #DestinationDragons winners! Ready, Atlanta? http://t.co/AY1GIdcfa4 http://t.co/yC7V2s0iOd”",0
@USAirways me too. Me too.,0
@united Did you find out where it is? Thanks,0
"@AmericanAir Thanks for the reply, but a functioning plane four hours ago was the only way to do that. The staff was friendly, tho.",1
@united can someone please explain the process of of what happens to property found on a plane after passengers leave at Heathrow ?,0
@USAirways wonder if this misery is considered a damage in a breach of contract lawsuit #lawyerup,-1
@united I'm over you. Evry 1st flight I take w/ you is delayed &amp; evry 2nd is on time so its missed evry time. #lastflightofthenight #breakup,-1
"@AmericanAir @emxlyy ""The wheel was broken when we got it. We swear.""",-1
@united flight 1491...plane from SFO to DEN is basically on time.,1
"@SouthwestAir There is no option just to Cancelled Flight? I don't want to change flight, I want to Cancelled Flight.",-1
"@SouthwestAir Totally sucks that my flights were weathered out of existence, but Stacy in Tucson helped with an overnight in Vegas!",-1
@united DM sent.  Thanks.,1
@United You were doing so well until the PHL-SFO flight yesterday. Major miss. Unfriendly Premier cabin crew. Baggage cluster at SFO.,-1
“@JetBlue: Our fleet's on fleek. http://t.co/TnKIXXrxHB” 😂😂,0
@united giving up on your direct flight from IAH to Honolulu. 3rd attempt in 3 years - 3rd delay.  $7 meal voucher. Wow. Customer service!,-1
"@united @czamkoff It's all about profit, and they don't really give a damn about paying customers!!!! #greed",-1
"@SouthwestAir there's a current Cancelled Flightlation in Indianapolis, my girlfriend is stranded. Any ideas, or help you can provide?",0
@AmericanAir why won't u deliver my luggage? Almost two days and holding on the phone for over 4 hrs. Help!,-1
@united I have sent a message with a bag tag. Have you looked?,-1
"@SouthwestAir #CustomerServiceFail - - almost missed flight - long slow BWI ticket line: ""Rather make a complaint or your flight?""",-1
@SouthwestAir I can't begin to tell you how slow my plane's wifi is. I can't even pull up an email.  What am i paying $8 for??,-1
@SouthwestAir Logically you would think you check all that before you have people board. I could've drove home in the time I've been waiting,-1
@JetBlue why did I pay for extra space to be forced to put my backpack under my seat? Its my only bag. Flight 135. Unprofessional.,-1
"@AmericanAir I love the Admiral Clubs! Thanks, hey can you follow me?",1
@SouthwestAir  Wish you allowed http://t.co/0pDNtGBXC6 to access you site for awards tracking.,0
@united - with airport self checkin your only option I'm now your employee. Training was a bitch. Send my paycheck asap.,-1
@SouthwestAir how many left?! I'm 15 min wway,0
@USAirways flight 2120. Please get us a flight plan already. How is this an issue in 21st century?,-1
@united never flying United again! Worst experience ever,-1
"@united Thank you for the speedy response! I figured it may be something of that nature. You guys and your ""fine print,"" haha",1
@SouthwestAir  I can go.  I want to badly!!!!   I don't know how to DM.  Can I e-mail you?   Help!!!  wmn4life@hotmail.com,0
@SouthwestAir why can't you take me to Knoxville?? yall are my fav #help,-1
@USAirways you have most likely lost my business. Terrible experience! Too many times stuck on Tarmac and last min Cancelled Flightled flights. #Done,-1
"@VirginAmerica to battle @SouthwestAir on @DallasLoveField-@AUStinAirport route 
http://t.co/6RLz0EBk2X via @usatoday",0
@USAirways forgot to call in the copilot so we're stuck on the plane in PHL. Looking fwd to being stranded in CLT. Day 2 of flight fails.,-1
@united maybe on my return trip 👍,1
"@USAirways yeah, the mark was like a mile back. Also we're an hour Late Flight. So thanks a ton for the great service today.",-1
“@united: @d_goodspeed We will follow up with our Maintenance team. Thanks for the tweet. ^KP” THANK YOU!  United Cares!,1
@SouthwestAir injured at check in yesterday. U told me to go to dr. on hold with SWA for over hour trying to talk with someone. suggestions?,-1
@USAirways No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease,-1
@JetBlue thanks to Julian at login for getting me onto an earlier flight back to DCA,1
@SouthwestAir needed my flight info so I can add my rapid rewards to my flight ... First time I have flown with SW - won't do it again #mad,-1
"@AmericanAir The point of the pic: If your reps struggle with the merger this much, imagine how it is for the public! http://t.co/hQdB5IRuVg",-1
@USAirways You won't give us a hotel or food. Can you at least suggestion options for making it to the metro city I have a ticket to?,-1
"@USAirways That is the height of rudeness, and without question the worst customer service I have ever experienced.",-1
@AmericanAir thank you!,1
@united of course I did. The bag should be here by now :( #frustrated,-1
@USAirways still waiting #brokenpromises #notnice #neveragain #tellyourstory,-1
@USAirways and @AmericanAir aren't as merged as the marketing departments would have us believe. Maybe @Delta or @united can get me home?,0
".@AmericanAir after 50 minutes on hold, and another 30 minutes on the call yes. Going to be pushing it to get to the airport on time now",-1
@united nope.  no case id either time.,0
@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw,-1
@AmericanAir #2298. Everyone else  was outstanding.,-1
@JetBlue Airways Corporation Registers High Short Interest - Wall Street Pulse http://t.co/hXSnv7fbbh,0
@USAirways talked to Supervisor Jeanine and she couldn't help me. 45 minutes of talking to her and nothing.,-1
@USAirways what's the deal with the flight computer network?,-1
"@AmericanAir one of my luggage didn't made it onto my flight, hope it really gets here tomorrow, as I was told 😓😭",-1
@united rebooked.  This one is Late Flight too.,-1
@USAirways DOMINICK L. at La Guardia airport NYC gives the absolute best customer service! Thanku! Checking in made easy!,1
@JetBlue  I did.  They have no idea where it is.,-1
"@AmericanAir seriously, you treat your passengers like shit.",-1
@AmericanAir what an incredibly arrogant thing to say while I sit here at O'Hare waiting for your incompetent airlines to refuel on a...,-1
"@united Waiting half an hour for my checked bag at EWR (&amp; that was Priority); disappointing, usually you guys are good.",-1
@united so this did not work out at all!! Incredibly unfriendly ground staff and false promises over Twitter @theairhelper,-1
"@SouthwestAir Customer relations line had busy signal too, called the normal line and the service rep thought I was dumb for not knowing.",-1
"@AmericanAir is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx",0
@united two hour delay for a plane that was visible from the airport. So far terrible customer service. #neveragain,-1
@united love the new 1st class breakfast!,1
@USAirways 24 hrs of traveling and this just welcomes u back home to the US. 4 hr layover and I get to watch it going to wrong destination.,-1
"@united It was quite enjoyable. 😊 

Except now he's stuck on the runway in Houston. 😕",-1
@USAirways JUST LANDED flight 545. Any chance of making flight 5530 Phoenix to AUS,0
@usairways - thanks for the 5+ hour flight from PIT to PHX with zero entertainment. Guess why I have a quarter million + miles on Delta,-1
@AmericanAir Reservation Line won't let me speak to a representative because they are too busy. They literally disconnect you. Why bother?,-1
"@AmericanAir that 2 hr wait became a 4 hr one. And y'all claimed to have sent an email. Yeah, that never happened. #FlyDelta",-1
@AmericanAir flight 1041 is the first flight.,0
@SouthwestAir My son's flight was Cancelled Flightled today. I was on hold 2+ hours to no avail. Can you help me rebook?,-1
@USAirways please give Tara G a pat on the back and praise.  She was very very helpful.  She is at PHL member lounge,1
@USAirways Used 2 get emails 1) pre-purchase a snack and 2) when time to check in. Got neither 4 tomorrow's trip. Do they not get sent now?,0
@JetBlue Thank you.,0
@JetBlue Are departing flights from Boston heavily delayed? Flying out tomorrow morning ...,0
@united Flight 512 had sime of the rudest flight attendants. I was run over by the drink card and had a flashlight dropped on me. #noapology,-1
".@SouthwestAir glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service",-1
@SouthwestAir plane switch on 636 meant A= back of plane #disappointed,-1
@AmericanAir already did &amp; an automated voice told us to wait 2 hours. They have yet to call back.,-1
@AmericanAir they were no where to be found at Midnight Last Night! I would think the agent in LAX could have relayed that info.Bag on flt,-1
@SouthwestAir I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,0
@JetBlue  I would go back to Aruba. I flew out of JFK. #bestplanesever #bestflightever,0
@united airlines abuse your expensive video equipment and overcharge you for the privilege http://t.co/SdyLuKR7pt via @robthecameraman,-1
@JetBlue I'll see you on board again soon!,1
@AmericanAir okay. I just sent it.,0
@AmericanAir should prob give me a refund since they made me miss my flight waiting to talk to someone for 3 hours... http://t.co/4SFpcbyy9m,-1
@SouthwestAir Thanks for reminding me about my upcoming trip to Florida but you really didn't need to... http://t.co/p6r5rt5Ow5,0
"@united I find this text funny, considering we are still sitting here because 2 seats need to be changed out. http://t.co/LoLuWfCi11",-1
@USAirways why the hell did you overbook a plane when you knew people actually had seat assignments. #inept #uncaring #piss poorplanning,-1
@AmericanAir He thanks you. Anything you can do to help. Would any further information help in the process?,1
@AmericanAir i've now been in France two days without changing clothes and nothing to keep me warm so please locate my bag and send it to(4),-1
"@JetBlue she helped me with my problem so easily and was so nice, you guys rock!",1
@USAirways @AmericanAir need to check candy w working flight 449 iah to phx on usairways she is the reason I always choose @Delta #rude,-1
@USAirways Okee doke,0
@AmericanAir Thanks. Took care of it. Issue was IVR was unclear and took too long to get a call-back option. Would love to see that fixed.,-1
"@usairways now on hold for an hour. So frustrating, I suspect you have more operators come in on days like this w/inclement weather?",-1
@AmericanAir is rude a hiring requirement at key west airport shaking my head,-1
@USAirways - been on hold for more than 2.5 hours - this after not getting through after 2 hours on hold this morning with no answer - help!,-1
"@JetBlue yes, last month when Boston got the first big snow storm and my flight was Cancelled Flightled.",-1
@AmericanAir @travisamex please please American call me so I can rebook ticket .,-1
@united Thanks...seat made for a 6 year old and a broken TV. 20 flights/year...my last on your airline.,-1
@SouthwestAir guess where Ashley is. She's doing a great job presenting. #ragandisney http://t.co/5ZNMwxDI9U,1
"@USAirways @keithlaw  I flew US Air for the first time yesterday, got propositioned by the flight attendant....true story!  #Creditcardsales",-1
@JetBlue Any EMS window seats on 1099 tomorrow?,0
@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek,-1
@USAirways I do to as I have an afternoon Conference in Las Vegas and I would rather plan ahead than run thru the airport and then attempt,-1
@SouthwestAir got it squared away. Thank you. I had a man on the inside help me out!,1
@AmericanAir how have you not loaded our luggage on the plane and were OVER an hour delayed? #Flight293,-1
@united 6 minutes to boarding at b12 in Ord. No sign of gate agent. A little help?,-1
@SouthwestAir @thirty_lives birthday is the 24th and he's not seeing Imagine Dragons at #DestinationDragons ?,-1
@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment,-1
"@AmericanAir @USAirways if this is how your merger is going to go, you fail! Huge probls w/comm on DFW storm. Cxld rtrn flts. NOT COOL!!!",-1
@SouthwestAir Can I do the same thing as changing a ticket by Cancelled Flighting my current ticket &amp; buying a replacement online?,0
"@AmericanAir @marxsterbcow How is this a real life response to a customer service issue? Seriously. Keep trying to call us. Eh, might work.",-1
"@AmericanAir although you have no control of the weather, you came through with a great customer service",1
@united I assume that would be for the other 300 people who have been let down by United? What's worse is plane is here but crew can't fly!!,-1
@SouthwestAir yeah bruh its bool y'all niggaz just need to hire some more workers or something cause next time imma be forced ta disrespect.,-1
@SouthwestAir Ive had on an airline. Everyone else has been great but she soured the whole experience for me. Hope she's not there next time,-1
"@SouthwestAir I saw ppl were winning tickets still, how do we win some?",0
@USAirways too Late Flight.,-1
"@SouthwestAir loving the new planes and the lighting, only wish windows were larger. http://t.co/h44uJ63CJG",1
"@JetBlue absolutely. The missed connection caused us to miss our ferry to Vieques. Get us to Vieques. Also, flight vouchers. #PRBound",-1
@AmericanAir you should be contacting her for a refund - dm me and I will provide phone number,0
@AmericanAir no kidding! Gonna take some beating on the apron... And there are some good lookin' planes out there!,1
@SouthwestAir hv wounded vet stuck in Chi. He's traveling to NY 4 healing. Need fly ny Late Flightst AM by 9 2 catch intl flt. Help!,-1
@AmericanAir Didn't really need anything. Saw your mentions are often negative. Keep up the good work. #gratitude  🇺🇸✈️,1
@united we will be at the airport first thing in the morning,0
@USAirways your app sucks balls compared to @AmericanAir,-1
@USAirways Thank you. But I don’t understand. What will you do with my feedback?,0
"@JetBlue awesome, thanks! on hold now.",1
@AmericanAir I loved todays fight. But there was a bad draft on the airplane please add more air to air thanksm,-1
"@USAirways delayed, connection missed, now extended layover how about a lounge pass for PHL. #5077",-1
@usairways can I get assistance on flight #611? Plane just landed from HPN and I have a connection to ATL.,0
Too Late Flight. RT “@JetBlue: Our fleet's on fleek. http://t.co/nJ5Ga1gds5”,0
@united go bankrupt again and transfer all of your assets to $LUV. That would be great.,-1
@SouthwestAir I receive bad customer service and ended up spending several hundred dollars to accommodate my family during each cxl flight,-1
"@united oh no, I'm rebooked, 7+ hours after my original arrival time. We can talk compensation.",-1
@SouthwestAir will the Daytona 500 be available on free TV?,0
@JetBlue glad u happy I have my bag but as a traveler I entrusted u w/ my property &amp; u return it damaged &amp; that's the best answer u have?,-1
"@USAirways it MIGHT have went through. No confirmation. ""Please wait"" then same form.",-1
"@USAirways thanks for the reply, hoping everything is cleared up in Charlotte by Monday",1
"@JetBlue Gains Altitude, But SkyWest Hits Turbulence JBLU SKYW - Investor's Business Daily http://t.co/P2HUM7lXUR",0
@united As it always is. Helps to communicate to customers.,-1
@united Without baggage for 5 days and can't get an update from Houston airport since Monday. Worst service ever!,-1
@AmericanAir @emrey35 But it says your agents are too busy and to try back Late Flightr???,-1
"@southwestair Landed an hour Late Flight from IND to DEN, and 40+ min Late Flightr, our bags are not here. Not cool.",-1
@usairways that wasn't the issue. Someone finally helped on the phone. Now theres a website error that won't let me process my request. SMH,-1
"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",0
@united not anymore.  Finally was ticketed 5 min before takeoff.  Not sure why the confusion with a full-fare GSA ticket.,-1
@AmericanAir - Please find my bag!! In Singapore for three days already without my bag. Last known destination LAX Tag: 580815 Please help.,-1
@united I guess. But what is the excuse for understaffed costumer services? 3 people had to deal with lots of angry passengers. Weather too?,-1
"@djevolutionhd As an EP who travels 125K+ miles a yr with @AmericanAir , I would expect more from them than this horrible travel experience",-1
"@AmericanAir @sweetmel If weather is bad, wouldn't your folks try extra hard to communicate...or load bags onto flight 1320...or...anything?",-1
"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned.",-1
@JetBlue we got our luggage after waiting 40 mins and went home right after. Not very family and ADA friendly waiting that long w no chairs.,-1
@USAirways something is wrong with your phone system if you call someone and don't play the recorded flight notification. Is US643 Late Flight?,-1
"@USAirways to a booked hotel for the night so I had to find him a room at midnight. Then say his bags will be on the plane, but can't (2/3)",-1
@united @staralliance the B gates are very far though,-1
"@united Yes, they did. Must have fixed the broken ramp. Thanks!",1
@JetBlue I waited 3 hrs for my bags and my flight was only 2 hrs,-1
"@AmericanAir Thank you for the worst experience ever on an airline, from me to you, I hope your embarrassed as an airline. Pathetic",-1
@USAirways but the automated message says the line is too busy to join the queue! #stuckintheloop,-1
@united i have talked to them...on standby for tomorrow but it doesn't look good. May have to stay here till Friday &amp; that's not guaranteed,-1
@USAirways a year and every time with US Air something happens. I sat waiting for a re-scheduled flight for 10 hours then to say its,-1
@SouthwestAir Being old I will miss my connection and can sleep at OAK or get a hotel on my own dime rubs me the wrong way. I wasn’t Late Flight.,-1
@united @jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out. Home Late Flight is still home!,1
@JetBlue woof I'm on the red cArpet http://t.co/iIdrbLNOoX,0
@united thanks! Everything a-ok now.,1
"@USAirways no, they could be at Laguardia, JFK or Charlotte. I have no idea where they are now tho",-1
@AmericanAir Why not sell MCE during post door-close shuffle in same way u sell drinks/snacks? People on my flight self-upgraded w/o paying.,-1
@SouthwestAir iPhone App Adds Passbook Support #Airlines #Travel http://t.co/lJzDTHD9Bv,0
"@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.",-1
@AmericanAir thx for nothing on getting us out of the country and back to US. Broken plane? Come on. Get another one.,-1
@JetBlue going to San Juan!,0
@USAirways it was customer service like I have never seen before!  Kudos to your organization.,1
"@USAirways my brother @BRizzyberg27 missed his flight traveling home for a funeral and can't get through to the call center, can you help?",-1
"@AmericanAir Yo, could that be a catering truck before mine eyes?  Unmoving? http://t.co/ASW6QwUf1Z",0
"@united you are trying to charge me 150 bucks because you lowered your award tickets and I want to get my hard earn points back, total BS",-1
@SouthwestAir I (heart) my CP status. Sure would be nice to have though.,1
"@united @simonroesner you'll need to upgrade the seats too, even in economy plus it's like sitting on a concrete bench.",-1
@JetBlue I have an email that says I have to sign on to the travel bank?  How do I that?,0
@JetBlue  What are your rules on checked baggage and carry ons from SLC to SJO?,0
@USAirways Our flight was Cancelled Flightled &amp; chaos abounds. I am in good humour. Please give me free everything to appease me.,-1
"@AmericanAir confused at the definition of a ""preferred seat."" I paid extra for one and got a regular seat with no legroom. Unimpressed.",-1
"@AmericanAir @jaynegelman How,about more@Blacklist too!!",0
@united flighted delayed for hours. 10pm arrival to Vegas is now 4am. Did you seriously lose my luggage???,-1
@united Of course. That was the start of my trip 3 wks. ago. Its gone further downhill on my return.,-1
@united exactly it states a secure document is a nexus card. It does not state a passport must always be also presented. Read it,-1
"@USAirways @MarciaVeronicaa she missed her uncle's funeral, and you ""hope"" they can find another flight. That's very considerate of you.",-1
"@united it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm.",-1
@AmericanAir our flight AA 1338 is delayed out of Providenciales and will be missing our connection AA 1651 in Miami to SEA. Who do we call?,-1
".@united: Just landed. A day Late Flight with almost no sleep, but here. I feel sorry for the woman I consoled who's mother died during the night.",-1
@SouthwestAir yes. Thank you. Oct 25-oct 31,1
@united you guys continue to impress me in Houston. http://t.co/cIh1qNllcM,1
@AmericanAir many trips coming up!  I will see you soon 😃,1
@SouthwestAir If you read my tweet it is a gap in process for folks that take multiple flights in one day.,0
"@USAirways I did, but it won't help.. Can't believe you wouldn't take full fare for first class and gave away to Platinum Member.. Profits?",-1
"@SouthwestAir#4569 Cancelled Flightled, had to get refund. Cancelled Flightlations happen. But the 25+ min phone wait &amp; painful music unacceptable. Come on...",-1
@united 3 times I've called customer services each at least 40 mins... Each time cut off by your operators... Why can't you call me back!,-1
"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",-1
"@united Ice, which I totally understand. But when a large number of us are facing 15+ hours of time and overnight Cancelled Flightations it seems like",-1
@USAirways it's painful being on hold to you!! Really 25 minutes to change a flight!! http://t.co/ocqk0JFXuA,-1
@JetBlue well I'm not sure I'm that bold! lol or are you saying you didn't believe me?? :P,0
"@USAirways absolutely worst experience of my life at PHL. 6 hrs, 1 failed departure, 3 gates, and ZERO communication or help!!",-1
@united Gate Agent Alavera is amazing,1
"@AmericanAir need assistance. very frustrated I can't reach reservations by phone. trying to book online &amp; get ""fare no longer avail"" msg",-1
@united delayed another hour,-1
@JetBlue You guys really suck! I just spent 40 minutes on the phone linking my credits to my account.  They are still NOT there! 1/2,-1
@AmericanAir there are no more flights via united when I arrive to DFW and my car is parked at IAH 😁,-1
@united Well the bar is set low! You guys are really good at the apology game! What will change? When will u guys learn?,-1
@JetBlue? | RT @WMCActionNews5: New airline expected to make its way to MEM http://t.co/vO3eQsEPqH,0
".@united Our newest delay, right now http://t.co/96fTLZWtvO",-1
@united Thanks!  Good to know.,0
@USAirways Been tweeting with the team at @AmericanAir who informed me that the problem is that you never sent his bags to them yesterday.,-1
@USAirways This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.,-1
@united my son is a passenger on flight 3710 from Chicago to Toronto. The plane came within feet of colliding  another plane and is stopped.,-1
"@AmericanAir So i was visiting SJU and was returning to Paris and they checked my bag at the gate in SJU, i arrived in paris and nothing,(1)",-1
@SouthwestAir why is customer relations still not open....in Texas?!,-1
@united what time does check in open for flight no UA80 from Manchester to Newark today ?,0
@united no worries Your customer service gets a bad wrap but just spoke w agent who saved me huge amounts of time &amp; apologized for yesterday,1
@SouthwestAir how can I get tickets for Feb 20 Imagine Dragons show?,0
@JetBlue wall separating in row 1. #safetyconcerns http://t.co/zTrDwV0N4l,0
".@united all other ANA ticket holders get to use the lounge, too. But not us. Because United booked us. #grumpykim",-1
